Model,Domain,Task,Organization,Authors,Publication date,Reference,Link,Citations,Notability criteria,Notability criteria notes,Parameters,Parameters notes,Training compute (FLOP),Training compute notes,Training dataset,Training dataset notes,Training dataset size (datapoints),Dataset size notes,Epochs,Training time (hours),Training time notes,Training hardware,Hardware quantity,Compute cost notes,Compute sponsor categorization,Abstract,Model accessibility,Hardware utilization,Confidence,Country (from Organization),Base model,Finetune compute (FLOP),Finetune compute notes,Batch size,Batch size notes,Organization categorization,Training code accessibility,Accessibility notes,Organization categorization (from Organization),Possibly over 1e23 FLOP,Frontier model,Training power draw (W),Training compute estimation method
CaLM,Biology,Protein or nucleotide language model (pLM/nLM),University of Oxford,"Carlos Outeiral, Charlotte M. Deane",2022-12-19,Codon language embeddings provide strong signals for protein engineering,https://www.biorxiv.org/content/10.1101/2022.12.15.519894v1.full.pdf,8.00,SOTA improvement,"""We show that large language models trained on codons, instead of amino acid sequences, provide high-quality representations that outperform comparable state-of-the-art models across a variety of tasks. In some tasks, like species recognition, prediction of protein and transcript abundance, or melting point estimation, we show that a language model trained on codons outperforms every other published protein language model, including some that contain over 50 times more parameters"" [Abstract]",86000000.00,"""We trained a large language model with 86M parameters""",29000000000000000000.00,"""4 NVIDIA Quadro RTX4000 GPUs for 40 days""

Calculation assuming FP32, utilization 30%:
= (40 * 24 * 3600) s * 7.1e12 FLOP/s * 0.3 * 4 GPU = 2.999808e+19

alternative calculation:
""Gradients were accumulated to an effective batch size of 1,000 examples, or approximately 256,000 tokens. ""
""(66,000 gradient steps, 14 full epochs)""

256000*66000*14*86000000*6=1.220567e+20",European Nucleotide Archive (ENA),"""The training set was constructed from the European Nucleotide Archive [39], with significant preprocessing to limit redundancy and save computational cost.""",2304000000,"""a dataset of 9M non-redundant and diverse cDNA sequences identified from whole-genome sequencing""

""Gradients were accumulated to an effective batch size of 1,000 examples, or approximately 256,000 tokens. ""

9000000*256000/1000=2304000000 tokens",14.00,960.0,"""The model reported in this work was trained on 4 NVIDIA Quadro
RTX4000 GPUs for 40 days (66,000 gradient steps, 14 full epochs)""",NVIDIA Quadro RTX 4000,4,,,"Protein representations from deep language models have yielded state-of-the-art performance across many tasks in computational protein engineering. In recent years, progress has primarily focused on parameter count, with recent models’ capacities surpassing the size of the very datasets they were trained on. Here, we propose an alternative direction. We show that large language models trained on codons, instead of amino acid sequences, provide high-quality representations that outperform comparable state-of-the-art models across a variety of tasks.
In some tasks, like species recognition, prediction of protein and transcript abundance, or melting point estimation, we show that a language model trained on codons outperforms every other published protein language model, including some that contain over 50 times more parameters. These results suggest that, in addition to commonly studied scale and model complexity, the information content of biological data provides an orthogonal direction to improve the power of machine learning in biology.",,,Likely,United Kingdom of Great Britain and Northern Ireland,,,,,,Academia,,,Academia,,,1418.583589472499,"Hardware,Operation counting"
Nucleotide Transformer,Biology,Protein or nucleotide language model (pLM/nLM),"NVIDIA,Technical University of Munich","Hugo Dalla-Torre, Liam Gonzalez, Javier Mendoza Revilla, Nicolas Lopez Carranza, Adam Henryk Grzywaczewski, Francesco Oteri, Christian Dallago, Evan Trop, Hassan Sirelkhatim, Guillaume Richard, Marcin Skwark, Karim Beguir,
Marie Lopez, Thomas Pierrot",2023-01-15,"The Nucleotide Transformer: Building and Evaluating Robust
Foundation Models for Human Genomics",https://www.biorxiv.org/content/10.1101/2023.01.11.523679v1.full.pdf,22.00,SOTA improvement,"""We show that the representations alone match or outperform specialized
methods on 11 of 18 prediction tasks, and up to 15 after fine-tuning.""",2500000000.00,"""We built four distinct foundation language models of different sizes, ranging from 500M up to 2.5B parameters""",8.08e+21,"""Training the largest parameter model required a total of 128 GPUs across 16 compute nodes for 28 days""

In repo, they default to jnp.float32, but recommend fp16 or bp16 for activations in the docstring. JAX defaults to TF32 so they should be utilizing tensor cores.

Assuming 1.56e14 FLOP/s for 32-bit calculations and 0.3 utilization rate

Estimate: 1.56e14 FLOP/s * 128 GPUs * 28 days * 24 h/day * 3600 s/h * 0.3 utilization rate = 1.45e22

Or, with 6ND:
""the model processed a total of 300B tokens during training""
6 * 300B * 2.5B = 4.5e21

Geometric mean: sqrt(1.45e22 * 4.5e21) = 8.08e21","Human Reference Genome (GRCh38/hg38),1000 Genomes Project","""pre-trained them on three different datasets encompassing the Human
reference genome, a collection of 3,200 diverse human genomes, and 850 genomes from several species""
",300000000000,"Largest dataset is the 1000 Genome dataset, with 3202 genomes for a total of 20.5 trillion nucleotides. However, for each dataset training was run until the model saw 300B tokens.",1.00,672.0,"""Training the largest parameter model required a total of 128 GPUs across 16 compute nodes for 28 days""",NVIDIA A100,128,,,"Closing the gap between measurable genetic information and observable traits is a longstanding challenge in genomics. Yet, the prediction of molecular phenotypes from DNA sequences alone remains limited and inaccurate, often driven by the scarcity of annotated data and the inability to transfer learnings between prediction tasks. Here, we present an extensive study of foundation models pre-trained on DNA sequences, named the Nucleotide Transformer, integrating information from 3,202 diverse human genomes, as well as 850 genomes from a wide range of species, including model and non-model organisms. These transformer models yield transferable, context-specific representations of nucleotide sequences, which allow for accurate molecular phenotype prediction even in low-data settings. We show that the representations alone match or outperform specialized methods on 11 of 18 prediction tasks, and up to 15 after fine-tuning. Despite no supervision, the transformer models learnt to focus attention on key genomic elements, including those that regulate gene expression, such as enhancers. Lastly, we demonstrate that utilizing model representations alone can improve the prioritization of functional genetic variants. The training and application of foundational models in genomics explored in this study provide a widely applicable stepping stone to bridge the gap of accurate molecular phenotype prediction from DNA sequence alone.
",,,Likely,"United States of America,Germany",,935000000000000000,"""All fine-tuning runs were performed on a single node with eight A100 GPUs. [...] On average, a fine-tuning run lasted 20 minutes for the 500M parameter models, and 50 minutes for the 2.5B parameter models.""

Estimate: 78e12 FLOP/s * 8 GPUs * 50 min * 60 seconds * 0.5 utilization rate = 9.36e17",,,"Industry,Academia",,,"Industry,Academia",,,113456.5902448678,"Operation counting,Hardware"
LEP-AD,Biology,"Proteins,Protein interaction prediction","King Abdullah University of Science and Technology (KAUST),Karolinska Institute","Anuj Daga, Sumeer Ahmad Khan, David Gomez Cabrero, Robert Hoehndorf, Narsis A. Kiani, Jesper Tegner",2023-03-15,LEP-AD: Language Embedding of Proteins and Attention to Drugs predicts Drug Target Interactions,https://www.biorxiv.org/content/10.1101/2023.03.14.532563v1.full.pdf,1.00,SOTA improvement,"""We report new best-in-class state-of-the-art results compared
to competing methods such as SimBoost, DeepCPI, Attention-DTA, GraphDTA,
and more using multiple datasets, including Davis, KIBA, DTC, Metz, ToxCast,
and STITCH. Finally, we find that a pre-trained model with embedding of proteins
(the LED-AD) outperforms a model using an explicit alpha-fold 3D representation of proteins (e.g., LEP-AD supervised by Alphafold)""",3007381000.00,"Uses ESM-2 3B. Table 2 gives details on the non-ESM layers. The GCN appears to have about 3.31M parameters and the linear layers should have 771k and 3.3M, respectively. So total is ~3.007B",,No indication of the training used here. ESM-2 3B used 3e22.,,Table 1,1244420,"Largest dataset appears to be STITCH, at 1244420 drug-target pairs.",,,,,,,,"Predicting drug-target interactions is a tremendous challenge for drug development and lead optimization. Recent advances include training algorithms to learn drug-target interactions from data and molecular simulations. Here we utilize Evolutionary Scale Modeling (ESM-2) models to establish a Transformer protein language model for drug-target interaction predictions. Our architecture, LEPAD, combines pre-trained ESM-2 and Transformer-GCN models predicting binding affinity values. We report new best-in-class state-of-the-art results compared to competing methods such as SimBoost, DeepCPI, Attention-DTA, GraphDTA, and more using multiple datasets, including Davis, KIBA, DTC, Metz, ToxCast, and STITCH. Finally, we find that a pre-trained model with embedding of proteins (the LED-AD) outperforms a model using an explicit alpha-fold 3D representation of proteins (e.g., LEP-AD supervised by Alphafold). The LEP-AD model
scales favorably in performance with the size of training data. Code available at https://github.com/adaga06/LEP-AD",Unreleased,,Confident,"Saudi Arabia,Sweden",ESM2-3B,,,,,"Academia,Academia",Open (non-commercial),https://github.com/adaga06/LEP-AD unclear license,"Academia,Academia",,,,
gLM,Biology,Protein or nucleotide language model (pLM/nLM),Harvard University,"Yunha Hwang, Andre L. Cornman, Sergey Ovchinnikov, Peter R. Girguis",2023-04-08,Deep learning of genomic contexts predicts protein co-regulation and function,"https://www.biorxiv.org/content/10.1101/2023.04.07.536042v1.full
https://github.com/y-hwang/gLM",,,,1000000000.00,"""Our model consists of ~1B parameters which is at least a magnitude smaller  compared to state-of-the-art pLMs.""",226437000000000000000.00,"""The training stage takes several weeks on four NVIDIA A100 GPUs.""

Assumption: 3 weeks, 40% utilization rate, 78 TFLOP peak rate

Estimate: (3*7*24*3600) s * 78e12 FLOP/s *4 GPU * 0.4 = 2.3e20",MGnify,"""seven million metagenomic contig fragments consisting of 15 to 30 genes from the MGnify database""",30800001,"Number of datapoints = 30.8 × 10^6

Calculations:
30.8 × 10^6 = 30,800,000 unique datapoints/tokens in first epoch",,,,NVIDIA A100,,,,"Deciphering the relationship between a gene and its genomic context is fundamental to understanding and engineering biological systems. Machine learning has shown promise in learning latent relationships underlying the sequence-structure-function paradigm from massive protein sequence datasets. However, to date, limited attempts have been made in extending this continuum to include higher order genomic context information. Evolutionary processes dictate the specificity of genomic contexts in which a gene is found across phylogenetic distances, and these emergent genomic patterns can be leveraged to uncover functional relationships between gene products. Here, we trained a genomic language model (gLM) on millions of metagenomic scaffolds to learn the latent functional and regulatory relationships between genes. gLM learns contextualized protein embeddings that capture the genomic context as well as the protein sequence itself, and appears to encode biologically meaningful and functionally relevant information (e.g. phylogeny, enzymatic function). Our analysis of the attention patterns demonstrates that gLM is learning co-regulated functional modules (i.e. operons). Our findings illustrate that gLM’s unsupervised deep learning of the metagenomic corpus is an effective approach to encode functional semantics and regulatory syntax of genes in their genomic contexts, providing a promising avenue for uncovering complex relationships between  genes in a genomic region.",Open weights (non-commercial),,Likely,United States of America,ESM2-650M,,,,,Academia,Open (non-commercial),"non-commercial license
train code:
https://github.com/y-hwang/gLM?tab=License-1-ov-file",Academia,,,,Hardware
xTrimoPGLM -100B,Biology,"Proteins,Protein or nucleotide language model (pLM/nLM)","Tsinghua University,BioMap Research","Bo Chen, Xingyi Cheng, Yangli-ao Geng, Shen Li, Xin Zeng, Boyan Wang, Jing Gong, Chiming Liu, Aohan Zeng, Yuxiao Dong, Jie Tang, Le Song",2023-07-06,xTrimoPGLM: Unified 100B-Scale Pre-trained Transformer for Deciphering the Language of Protein,https://www.biorxiv.org/content/10.1101/2023.07.05.547496v4,65.00,"SOTA improvement,Training cost","""Our extensive experiments reveal that xTrimoPGLM significantly outperforms other advanced baselines in diverse protein understanding tasks (13 out of 15 tasks across four categories)""",100000000000.00,"Abstract: ""training xTrimoPGLM at an unprecedented scale of 100 billion
parameters and 1 trillion training tokens""",6.2e+23,"""xTrimoPGLM-100B is trained on a cluster of 96 DGX-A100 GPU (8×40G) servers in FP16 precision from January 18 to June 30, 2023. During this time, xTrimoPGLM-100B has consumed 1 trillion tokens from the dataset consisting of Uniref90 and ColAbFoldDB. As of the current date, xTrimoPGLM-100B continues its pre-training process to pass through as many tokens as possible""

6 * 100 billion params * 1T tokens = 6e23

8*96 * 312 trillion * 163 days * 24 * 3600 * 0.3 ~= 1e24

directly given in the paper (Table 9, or Table 4 in new version): 6.2E+23 ",UniRef50,,,~24M protein sequences,,3912.0,163 days,NVIDIA A100 SXM4 40 GB,768,,,"Protein language models have shown remarkable success in learning biological information from protein sequences. However, most existing models are limited by either autoencoding or autoregressive pre-training objectives, which makes them struggle to handle protein understanding and generation tasks concurrently. This paper proposes a unified protein language model, xTrimoPGLM, to address these two types of tasks simultaneously through an innovative pre-training framework. Our key technical contribution is an exploration of the compatibility and the potential for joint optimization of the two types of objectives, which has led to a strategy for training xTrimoPGLM at an unprecedented scale of 100 billion parameters and 1 trillion training tokens. Our extensive experiments reveal that xTrimoPGLM significantly outperforms other advanced baselines in diverse protein understanding tasks (13 out of 15 tasks across four categories) and generates novel protein sequences which are structurally similar to natural ones. Furthermore, using the same xTrimoPGLM framework, we train an antibody-specific model (xTrimoPGLM-Ab) using 1 billion parameters. This model set a new record in predicting antibody naturalness and structures, both essential to the field of antibody-based drug design, and demonstrated a significantly faster inference speed than AlphaFold2. These results highlight the substantial capability and versatility of xTrimoPGLM in understanding and generating protein sequences.",Unreleased,,Confident,"China,China",,,,2097152,"""We employ batches of 2,048 sequences, each 1,024 tokens in length""","Academia,Industry",Unreleased,,"Academia,Industry",checked,,679602.2897189565,"Reported,Operation counting,Hardware"
RoseTTAFold All-Atom (RFAA),Biology,"Protein folding prediction,Proteins","University of Washington,Seoul National University,University of Sheffield","Rohith Krishna, Jue Wang, Woody Ahern, Pascal Sturmfels, Preetham Venkatesh, Indrek Kalvet, Gyu Rie Lee, Felix S Morey-Burrows, Ivan Anishchenko, Ian R Humphreys, Ryan McHugh, Dionne Vafeados, Xinting Li, George A Sutherland, Andrew Hitchcock, C Neil Hunter, Minkyung Baek, Frank DiMaio, David Baker",2023-10-09,Generalized Biomolecular Modeling and Design with RoseTTAFold All-Atom,https://www.biorxiv.org/content/10.1101/2023.10.09.561603v1,,,,,,214000000000000030000.00,"Supplementary material: ""This took 8 days on 8 NVIDIA A6000 GPUs.""
8*3.87E+13*60*60*24*8","PDB (Protein Data Bank),Cambridge Structural Dataset","More than a PLM. Models other kinds of molecules too. 

""From the PDB, we curated a protein-biomolecule dataset including protein-small molecule, protein-metal, and covalently modified protein complexes, filtering out common solvents and crystallization additives. Following clustering (30% sequence identity) to avoid bias towards overrepresented structures, we obtained 121,800 protein-small molecule structures in 5,662
clusters, 112,546 protein-metal complexes in 5,662 clusters, and 12,689 structures with covalently modified amino acids in 1,099 clusters for training. To help the network learn the general properties of small molecules rather than features specific to the molecules in the PDB, we supplemented the training set with small molecule crystal structures from the Cambridge
Structural Database(12).""",110000001,"Datasets:
121,800 + 112,546 + 12,689 + 21,000 + 6,016 + 25,000 = 298,051 ≈ 300,000 structures

Tokens per structure:
300 residues + 30 atoms = 330 tokens (used 375 tokens as upper estimate)

Final calculation:
300,000 structures × 375 tokens/structure = 1.125 × 10⁸ tokens ≈ 1.1 × 10⁸ tokens",,,,,,,,"Although AlphaFold2 (AF2) and RoseTTAFold (RF) have transformed structural biology by enabling high-accuracy protein structure modeling, they are unable to model covalent modifications or interactions with small molecules and other non-protein molecules that can play key roles in biological function. Here, we describe RoseTTAFold All-Atom (RFAA), a deep network capable of modeling full biological assemblies containing proteins, nucleic acids, small molecules, metals, and covalent modifications given the sequences of the polymers and the atomic bonded geometry of the small molecules and covalent modifications. Following training on structures of full biological assemblies in the Protein Data Bank (PDB), RFAA has comparable protein structure prediction accuracy to AF2, excellent performance in CAMEO for flexible backbone small molecule docking, and reasonable prediction accuracy for protein covalent modifications and assemblies of proteins with multiple nucleic acid chains and small molecules which, to our knowledge, no existing method can model simultaneously. By fine-tuning on diffusive denoising tasks, we develop RFdiffusion All-Atom (RFdiffusionAA), which generates binding pockets by directly building protein structures around small molecules and other non-protein molecules. Starting from random distributions of amino acid residues surrounding target small molecules, we design and experimentally validate proteins that bind the cardiac disease therapeutic digoxigenin, the enzymatic cofactor heme, and optically active bilin molecules with potential for expanding the range of wavelengths captured by photosynthesis. We anticipate that RFAA and RFdiffusionAA will be widely useful for modeling and designing complex biomolecular systems.",Open weights (unrestricted),,,"United States of America,Korea (Republic of),United Kingdom of Great Britain and Northern Ireland",,,,,,"Academia,Academia,Academia",Open source,MIT-like license. inference code + training hyperparams: https://github.com/baker-laboratory/RoseTTAFold-All-Atom?tab=License-1-ov-file#readme,"Academia,Academia,Academia",,,,Hardware
UDSMProt,Biology,"Proteins,Protein or nucleotide language model (pLM/nLM)",Fraunhofer Heinrich Hertz Institute,"Nils Strodthoff, Patrick Wagner, Markus Wenzel, and Wojciech Samek",2019-09-04,UDSMProt: Universal Deep Sequence Models for Protein Classification,https://www.biorxiv.org/content/10.1101/704874v2.full.pdf,,SOTA improvement,"""The proposed method performs on par with state-of-the-art algorithms that were tailored to these specific tasks or, for two out of three tasks, even outperforms them.""",28303800.00,"Python code:  
# Given LSTM parameters
emb_sz = 400  # embedding size, typically equal to the input size for the first layer
nh = 1150     # number of hidden units
nl = 3        # number of layers

# The formula for a single LSTM layer parameters is:
# P = 4 * ((input_dim + hidden_dim) * hidden_dim + hidden_dim)

# First layer parameters (input_dim is the embedding size)
first_layer_params = 4 * ((emb_sz + nh) * nh + nh)

# For subsequent layers, input_dim is equal to hidden_dim (nh)
subsequent_layer_params = 4 * ((nh + nh) * nh + nh)

# Total parameters for all layers
total_params = first_layer_params + (nl - 1) * subsequent_layer_params

print(total_params)",637000000000000000.00,"Pretraining:
Table 7 gives max of 499k sequences each at (seemingly) L=1024:
499k * 1024 * 28.3M * 6 = 8.7e16

Finetuning:
Largest downstream task has 104940 sequences (Table 5), each sequence has L=1024 residues, 28.3M parameters, and 30 epochs.
105k * 1024 * 30 * 28.3 * 6 = 5.5e17.","SwissProt,a subset of UniProtKB",,,560K proteins,30.00,,,,,,,"Motivation: Inferring the properties of a protein from its amino acid sequence is one of the key problems in bioinformatics. Most state-of-the-art approaches for protein classification tasks are tailored to single classi- fication tasks and rely on handcrafted features such as position-specific-scoring matrices from expensive database searches. We argue that this level of performance can be reached or even be surpassed by learning a task-agnostic representation once, using self-supervised language modeling, and transferring it to specific tasks by a simple finetuning step.
Results: We put forward a universal deep sequence model that is pretrained on unlabeled protein se- quences from Swiss-Prot and finetuned on protein classification tasks. We apply it to three prototypical tasks, namely enzyme class prediction, gene ontology prediction and remote homology and fold detection. The proposed method performs on par with state-of-the-art algorithms that were tailored to these specific tasks or, for two out of three tasks, even outperforms them. These results stress the possibility of inferring protein properties from the sequence alone and, on more general grounds, the prospects of modern natural language processing methods in omics.",Open weights (unrestricted),,Likely,Germany,,,,,,Research collective,Open source,"BSD license, models and code
https://github.com/nstrodt/UDSMProt ",Research collective,,,,Operation counting
RaptorX-Contact,Biology,"Protein folding prediction,Proteins",Toyota Technological Institute at Chicago,"Jinbo Xu, Sheng Wang",2019-05-02,Analysis of distance-based protein structure prediction by deep learning in CASP13,https://www.biorxiv.org/content/biorxiv/early/2019/05/02/624460.full.pdf,,,,,,,,PDB25 and UniProt,,450000001,"Calculation steps:
1. Training proteins = 11,410 - 900 = 10,510 proteins
2. Residue pairs per protein = (300 × 299)/2 = 44,850 pairs
3. Total data points = 10,510 × 44,850 = 4.73 × 10⁸
Final estimate ≈ 4.5 × 10⁸ data points",,,,,,,,"This paper reports the CASP13 results of distance-based contact prediction, threading and folding methods implemented in three RaptorX servers, which are built upon the powerful deep convolutional residual neural network (ResNet) method initiated by us for contact prediction in CASP12. On the 32 CASP13 FM (free-modeling) targets with a median MSA (multiple sequence alignment) depth of 36, RaptorX yielded the best contact prediction among 46 groups and almost the best 3D structure modeling among all server groups without time-consuming conformation sampling. In particular, RaptorX achieved top L/5, L/2 and L long-range contact precision of 70%, 58% and 45%, respectively, and predicted correct folds (TMscore>0.5) for 18 of 32 targets. Although on average underperforming AlphaFold in 3D modeling, RaptorX predicted correct folds for all FM targets with >300 residues (T0950-D1, T0969-D1 and T1000-D2) and generated the best 3D models for T0950-D1 and T0969-D1 among all groups. This CASP13 test confirms our previous findings: (1) predicted distance is more useful than contacts for both template-based and free modeling; and (2) structure modeling may be improved by integrating alignment and co- evolutionary information via deep learning. This paper will discuss progress we have made since CASP12, the strength and weakness of our methods, and why deep learning performed much better in CASP13.",Unreleased,,Unknown,United States of America,,,,,,Academia,Open (restricted use),"this license for code:
https://github.com/j3xugit/RaptorX-Contact?tab=GPL-3.0-1-ov-file",Academia,,,,
GenSLM,Biology,Protein or nucleotide language model (pLM/nLM),"University of Chicago,NVIDIA,Harvard University,Cerebras Systems,Technical University of Munich,California Institute of Technology","Maxim Zvyagin, Alexander Brace, Kyle Hippe, Yuntian Deng, Bin Zhang, Cindy Orozco Bohorquez, Austin Clyde, Bharat Kale, Danilo Perez-Rivera, Heng Ma, Carla M. Mann, Michael Irvin, J. Gregory Pauloski, Logan Ward, Valerie Hayot, Murali Emani, Sam Foreman, Zhen Xie, Diangen Lin, Maulik Shukla, Weili Nie, Josh Romero, Christian Dallago, Arash Vahdat, Chaowei Xiao, Thomas Gibbs, Ian Foster, James J. Davis, Michael E. Papka, Thomas Brettin, Rick Stevens, Anima Anandkumar, Venkatram Vishwanath, Arvind Ramanathan",2022-10-11,GenSLMs: Genome-scale language models reveal SARS-CoV-2 evolutionary dynamics,https://www.biorxiv.org/content/biorxiv/early/2022/10/11/2022.10.10.511571.full.pdf,58.00,SOTA improvement,"""Together, these capabilities go beyond state-of-the-art techniques
for global-scale whole genome surveillance of pandemic-causing
viruses and address a critical infrastructure need for the global
public health organization"" - SOTA improvement on very specific task",25000000000.00,See Table 3,1.42e+21,"See Table 3
Overall ZettaFlops 1.42","SARS-CoV-2 genome dataset,BV-BRC","SARS-CoV-2 genome datasets from multiple sources:

""we used >1.5 million high-quality BV-BRC SARSCoV-2 complete genome sequences""

""We also utilized a dataset collected by the Houston Methodist Hospital System - one of the largest single-institution collections of SARS-CoV-2 genome sequences in the United States. [...]  Sequences with >256 ambiguous characters were discarded, leaving 16,545 total sequences""

Prokaryotic gene sequence dataset from BV-BRC:
""To allow for better generalization and avoid overfitting of the models to the SARS-CoV-2 data, we used >110 million unique prokaryotic gene sequences from BV-BRC""",56000000001,"110,000,000 sequences * 512 tokens/sequence = 56,320,000,000 tokens (5.6e10)",,,,,,,,"Our work seeks to transform how new and emergent variants of pandemic causing viruses, specially SARS-CoV-2, are identified and classified. By adapting large language models (LLMs) for genomic data, we build genome-scale language models (GenSLMs) which can learn the evolutionary landscape of SARS-CoV-2 genomes. By pretraining on over 10 million prokaryotic gene sequences, and then finetuning a SARS-CoV-2 specific model on 1.5 million genomes, we show that GenSLM can accurately and rapidly identify variants of concern. Thus, to our knowledge, GenSLM represents one of the first whole genome scale foundation models which can generalize to other prediction tasks. We demonstrate the scaling of GenSLMs on both GPU-based supercomputers and AI-hardware accelerators, achieving over 1.54 zettaflops in training runs. We present initial scientific insights gleaned from examining GenSLMs in tracking the evolutionary dynamics of SARS-CoV-2, noting that its full potential on large biological data is yet to be realized.",,,Confident,"United States of America,United States of America,United States of America,Multinational,Germany,United States of America",,,,,,"Academia,Industry,Academia,Industry,Academia,Academia",,,"Academia,Industry,Academia,Industry,Academia,Academia",,,,Reported
ZymCTRL,Biology,Protein generation,"Basecamp Research,Friedrich-Alexander-Universität,University of Girona","Geraldene Munsamy, Sebastian Lindner, Philipp Lorenz, Noelia Ferruz",2022-12-01,ZymCTRL: a conditional language model for the controllable generation of artificial enzymes,https://www.mlsb.io/papers_2022/ZymCTRL_a_conditional_language_model_for_the_controllable_generation_of_artificial_enzymes.pdf,11.00,,,738000000.00,"""ZymCTRL contains 36 layers totalling 738M parameters""",5.05e+21,"""We trained for 179,000 steps on 48 NVIDIA A100s 80GB for about 15,000 GPU hours""

15000  * 3600 * 312 teraFLOPS * 0.3 (utilization assumption) = 5.05e21",BRENDA,"""ZymCTRL was trained on the BRENDA database, a dataset of 37M enzyme sequences classified according to their enzymatic class""",13033458285,"36,276,604 sequences after filtering, and training uses 90% of these. From figure 6, average sequence is 399.2 amino acids long.
36,276,604 * 0.9 * 399.2 = 13.0B amino acids",8.00,,,NVIDIA A100,,,,"The design of custom-tailored proteins has the potential to provide novel and
groundbreaking solutions in many fields, including molecular medicine or environmental sciences. Among protein classes, enzymes are particularly attractive because their complex active sites can accelerate chemical transformations by several orders of magnitude. Since enzymes are biodegradable nanoscopic materials, they hold an unmatched promise as sustainable, large-scale industrial catalysts. Motivated by the enormous success of language models in designing novel yet nature-like proteins, we hypothesised that an enzyme-specific language model could provide new opportunities to design purpose-built artificial enzymes. Here, we describe ZymCTRL, a conditional language model trained on the BRENDA database of enzymes, which generates enzymes of a specific enzymatic class upon a user prompt. ZymCTRL generates artificial enzymes distant from natural ones while their intended functionality matches predictions from orthogonal methods. We release the model to the community.",,,Confident,"United Kingdom of Great Britain and Northern Ireland,Germany,Spain",,,,,,"Academia,Academia",,https://huggingface.co/AI4PD/ZymCTRL,"Academia,Academia",,,,Hardware
DMPFold,Biology,"Proteins,Protein folding prediction,Protein contact and distance prediction",University College London (UCL),"Joe G. Greener, Shaun M. Kandathil and David T. Jones",2018-11-29,Deep learning extends de novo protein modelling coverage of genomes using iteratively predicted structural constraints,https://www.nature.com/articles/s41467-019-11994-0,174.00,,,3800000.00,"Based on Fig. 9:

Distance predictor network: [Total = 17684]
(1) Maxout2D: 0 parameters
(2) ResBlock x 18: 2*64*18 = 16384 parameters (a shift and scale parameter for every InstanceNorm2D layer)
(3) Conv2D 1x1: 64*20 + 20 = 1300 parameters
(4) Softmax: 0 parameters

Hydrogen bond predictor network: [Total = 3691073]
(1) Maxout2D: 0 parameters
(2) ResBlock x 18: (2*64*2 + 5*5*64*64*2)*18 = 3 691 008 parameters
(3) Conv2D 1x1: 64*1 + 1 = 65 parameters
(4) Sigmoid: 0 parameters

Torsion angles and errors network [Total = 115459]
(1) Maxout2D: 0 parameters
(2) ResBlock x 18: 2*64*18 = 16384 parameters (a shift and scale parameter for every InstanceNorm2D layer)
(3) BLSTM: 4×2×(N+M)×M where M is 128 (hidden units in BLSTM layer) and N is 64 (input dimensionality) = 98304
(4) Conv1D 1x1: 256*3 + 3 = 771 parameters

Estimate total parameters = 3.8e6 parameters

[See Section 'Additional constraint types and iterative predictions': ""a bidirectional recurrent LSTM layer with 128 hidden units (BLSTM in Fig. 9c), which embeds each row of the final 2-D 64-channel feature map in a single 256-D vector (concatenation of 128-D final timestep output states of the forward and reverse direction LSTM passes)""]",,"""Training of all models was performed using the Adam optimiser for 75
epochs with default parameters""

""The training set here was based on the same 6729 protein chains, ≤500 residues in length, with non-redundancy at the 25% sequence identity level and no unresolved main chain atoms""

Estimate = 2 * 3.8e6 * 3 * 6729 * 75 * 486 ~ 5.59e15 FLOP

This seems likely to be too low.",PSICOV150,"First published in Jones et al. 2012: https://academic.oup.com/bioinformatics/article/28/2/184/198108

""All other aspects of training, including data augmentation procedures were out as
previously described for DMP. The training set here was based on the same 6729 protein chains, ≤500 residues in length""

In DMP publication: (https://academic.oup.com/bioinformatics/article/34/19/3308/4987145?login=false)
""We assessed the mean precision achieved by DeepCov on the now standard PSICOV150 set of proteins and alignments, described in Jones et al. (2012).""",3270294,"""The training set here was based on the same 6729 protein chains""
Each chain is <= 500 residues long, per this paper, average animal protein is 486 amino acids long.
6729 * 486 = 3,270,294 residues total",75.00,,,,,,,"The inapplicability of amino acid covariation methods to small protein families has limited their use for structural annotation of whole genomes. Recently, deep learning has shown promise in allowing accurate residue-residue contact prediction even for shallow sequence alignments. Here we introduce DMPfold, which uses deep learning to predict inter-atomic distance bounds, the main chain hydrogen bond network, and torsion angles, which it uses to build models in an iterative fashion. DMPfold produces more accurate models than two popular methods for a test set of CASP12 domains, and works just as well for transmembrane proteins. Applied to all Pfam domains without known structures, confident models for 25% of these so-called dark families were produced in under a week on a small 200 core cluster. DMPfold provides models for 16% of human proteome UniProt entries without structures, generates accurate models with fewer than 100 sequences in some cases, and is freely available.",Open weights (unrestricted),,Likely,United Kingdom of Great Britain and Northern Ireland,,,,,,Academia,Open source,license: https://github.com/psipred/DMPfold?tab=GPL-3.0-1-ov-file#readme,Academia,,,,
